n_training_sources,subset_index,model,test_sources,n,mae_deg,rmse_deg,r2,medae_deg,p90ae_deg
6,2,nnls_physics,2,42,24.56687273297991,36.61921084576411,0.2893025184950664,14.56280517578125,53.94694747924804
6,2,physics_residual_xgboost,2,42,24.996465013140725,40.765496859523786,0.11925072452513596,12.463553746541336,50.06735140482583
6,3,nnls_physics,2,57,24.386721058895713,34.284708599842396,0.3284124120033093,16.692703247070312,48.81143417358398
6,3,physics_residual_xgboost,2,57,19.966142592788266,35.104882095275116,0.29589606179850003,11.112122217814132,37.586852010091135
6,4,nnls_physics,2,39,25.95371926136506,29.398948848347874,-1.3300320918743607,22.10396957397461,48.78623886108399
6,4,physics_residual_xgboost,2,39,10.246597404026575,11.907976673175977,0.6177264515436112,10.118028004964195,17.274759833017985
6,5,nnls_physics,2,75,13.611563847859701,25.530836603355183,0.4579616073912026,7.357734680175781,21.14560928344727
6,5,physics_residual_xgboost,2,75,17.329965081214905,30.029469569356458,0.2501139432262979,10.38688723246257,37.686327489217234
6,6,nnls_physics,2,60,12.339168691635132,20.738988063106422,0.5208471887584543,6.065860748291016,33.03685932159425
6,6,physics_residual_xgboost,2,60,11.295779348164794,15.505742453840158,0.7321546878978975,8.772294163703918,22.65719779332481
6,7,nnls_physics,2,105,10.39500213804699,13.56880436515365,0.5580629487450832,7.261268615722656,20.777432250976563
6,7,physics_residual_xgboost,2,105,11.361533181913314,13.313053214112307,0.5745656153047736,9.899943033854171,20.4985954284668
6,8,nnls_physics,2,57,11.28103928816946,16.540354676995864,0.35584019613113704,6.489326477050781,25.581687927246087
6,8,physics_residual_xgboost,2,57,7.509727445087935,8.998274126134048,0.8093563149617473,7.3797643184661865,14.016051546732585
6,9,nnls_physics,2,72,13.906301180521647,19.102720698666424,0.2594492599759952,9.500408172607422,32.31974983215332
6,9,physics_residual_xgboost,2,72,9.415581136390015,11.62353165302329,0.7258169686266983,7.838679552078247,17.784477106730144
6,10,nnls_physics,2,34,25.717700228971594,40.28928514390338,0.18920514741273442,12.780036926269531,90.4810408592224
6,10,physics_residual_xgboost,2,34,34.98056528615017,49.61715198883279,-0.22968966763949328,26.18585364023845,72.97674446105957
6,11,nnls_physics,2,19,31.257086352298135,41.10914044838017,0.418700437007117,23.491256713867188,72.38436927795411
6,11,physics_residual_xgboost,2,19,32.61717534718806,43.64153473766393,0.34487641601430874,32.680178006490074,70.98574727376302
6,12,nnls_physics,2,16,31.03460991382599,36.99423904366287,0.2509671487559716,24.753585815429688,51.95003890991211
6,12,physics_residual_xgboost,2,16,27.474438180526096,42.06712720110706,0.03145817920470195,11.386936982472736,73.05022239685059
6,13,nnls_physics,2,49,9.910456988276268,17.180526208449706,0.6322530218690874,5.6494903564453125,21.354159545898444
6,13,physics_residual_xgboost,2,49,12.770616392395935,24.04392912351451,0.2797436958789391,7.3645127614339145,18.764464060465503
6,14,nnls_physics,2,60,23.030762831370037,33.80950302275806,0.44777958495565207,14.56280517578125,57.33010025024414
6,14,physics_residual_xgboost,2,60,22.808384849627817,35.46267900526253,0.3924556783986213,15.303728659947708,46.73798751831056
6,15,nnls_physics,2,45,24.473968950907388,31.79955132688784,-0.36701151766240225,16.5330810546875,57.416690063476565
6,15,physics_residual_xgboost,2,45,24.142099489989107,29.923814842563853,-0.21049808459980524,16.825579325358078,52.22862437566122
