measurement_id,surface_group_id,source_group_id,liquid_id,contact_angle_deg,contact_angle_type,measurement_method,temperature_K,humidity_percent,pressure_atm,droplet_volume_uL,replicates_n,contact_angle_std_deg,contact_angle_min_deg,contact_angle_max_deg,quality_grade,conflict_flag,solid_total_surface_energy_mJ_m2,solid_dispersion_mJ_m2,solid_polar_mJ_m2,solid_surface_energy_source,solid_surface_energy_source_type,data_extraction_note,record_id,sfe_source_type,new_external_source_flag,target_eligible
CA0069,SFC_059D01259A34,SRC023,LIQ_6656B41AB7,51.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,31.0,30.0,1.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0069,assumed_or_estimated,no,diagnostic_only
CA0070,SFC_B8D818A15C77,SRC024,LIQ_0F4168490E,91.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,possible_duplicate,33.0,31.0,2.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; duplicate/conflicting rows retained for review,CA0070,assumed_or_estimated,no,diagnostic_only
CA0071,SFC_DFFFBB02B458,SRC024,LIQ_0F4168490E,108.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,possible_duplicate,18.0,18.0,0.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; duplicate/conflicting rows retained for review,CA0071,assumed_or_estimated,no,diagnostic_only
CA0072,SFC_CC13B5674B11,SRC024,LIQ_53310FAFB3,55.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,possible_duplicate,31.0,30.0,1.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; duplicate/conflicting rows retained for review,CA0072,assumed_or_estimated,no,diagnostic_only
CA0073,SFC_2F5D209BCFE9,SRC024,LIQ_53310FAFB3,52.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,possible_duplicate,29.0,28.0,1.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; duplicate/conflicting rows retained for review,CA0073,assumed_or_estimated,no,diagnostic_only
CA0074,SFC_B8D818A15C77,SRC024,LIQ_53310FAFB3,68.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,possible_duplicate,33.0,31.0,2.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; duplicate/conflicting rows retained for review,CA0074,assumed_or_estimated,no,diagnostic_only
CA0075,SFC_DFFFBB02B458,SRC024,LIQ_53310FAFB3,78.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,possible_duplicate,18.0,18.0,0.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; duplicate/conflicting rows retained for review,CA0075,assumed_or_estimated,no,diagnostic_only
CA0076,SFC_8E1BAB0CA5A6,SRC024,LIQ_53310FAFB3,58.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,possible_duplicate,25.0,23.0,2.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; duplicate/conflicting rows retained for review,CA0076,assumed_or_estimated,no,diagnostic_only
CA0077,SFC_95580B5C4364,SRC010,LIQ_0F4168490E,122.42,static,sessile_drop,298.15,,1.0,2.0,,,,,A_high,none,16.27,16.2,0.07,calculated from paired water/diiodomethane contact angles in Table 2,inferred_from_contact_angles,Table 2 direct value; contact angles reported for water and diiodomethane after air SDBD plasma treatments,CA0077,inferred_from_contact_angles,no,yes
CA0078,SFC_95580B5C4364,SRC010,LIQ_6656B41AB7,84.98,static,sessile_drop,298.15,,1.0,2.0,,,,,A_high,none,16.27,16.2,0.07,calculated from paired water/diiodomethane contact angles in Table 2,inferred_from_contact_angles,Table 2 direct value; contact angles reported for water and diiodomethane after air SDBD plasma treatments,CA0078,inferred_from_contact_angles,no,yes
